,Open,High,Low,Close,Volume
2022-01-03,98.47945024202465,98.87679224741551,97.96344435217684,98.81939437364056,3045463
2022-01-04,98.8355574404512,100.27490670055825,98.48496028644392,99.31167299978642,1140461
2022-01-05,98.89766276811865,99.30026309425546,98.58523776817553,98.87318529559832,3098079
2022-01-06,98.02100688641943,98.58503272031602,97.77719763357683,98.22517316532911,3947362
2022-01-07,99.78057590766633,100.84416595829076,99.78057590766633,100.2351922082361,418752
2022-01-10,101.4654811318098,101.81165769888273,100.68756972734946,100.99521505862428,578593
2022-01-11,99.41565635046068,99.4546407111566,98.51640103898266,99.42045148820374,1368021
2022-01-12,98.99347894441323,99.69602895154897,98.63799584007886,99.18022432152033,1005786
2022-01-13,100.02422680016372,100.02422680016372,99.40881627416597,99.6040230897018,321613
2022-01-14,100.35990149481346,100.74437848842769,99.63910229618318,100.47174936930776,1848091
2022-01-17,99.72560207939298,99.72560207939298,98.44392856018071,99.4251423012482,3883999
2022-01-18,99.03964691661156,100.34345321917763,98.82826179567151,99.53180970201464,3672135
2022-01-19,98.80914237451367,100.04627616898439,98.57191205377518,99.19016247850088,1721400
2022-01-20,98.6351979106592,99.14334156631492,98.10097760292636,98.8219889397876,3224031
2022-01-21,97.151021955023,97.68183099198095,96.40016709038919,96.94429330304408,3877739
2022-01-24,96.87513541924206,97.26720477204427,96.82849874837272,96.8531179651839,628667
2022-01-25,96.10952202466221,96.97346852830938,95.86171244346386,96.10128548027838,2110876
2022-01-26,97.47256407671125,97.81286866284422,97.45443411924784,97.73763032315266,889984
2022-01-27,99.03266047357427,99.45910692722339,98.48207309068057,98.66615459340608,4473539
2022-01-28,100.469952463181,101.05955730644978,99.84349552548075,100.16201421127441,639254
2022-01-31,101.60130103145472,101.60130103145472,100.71905070798371,101.23611141627676,2145313
2022-02-01,100.60596342728698,101.33081795576823,100.03761766585866,100.98986086391224,1683694
2022-02-02,100.24323602196297,100.7327851038729,99.52131755617934,99.77252711555387,2536517
2022-02-03,100.8875621996413,101.14239401653792,100.488798805767,101.10509943173778,2563127
2022-02-04,101.11987292022437,101.53081536668232,100.88768890054953,101.38391527232741,4929687
2022-02-07,101.33138575141076,101.92769167176056,100.91687052751024,101.15725815135116,3668260
2022-02-08,102.68890269066145,102.74486361441114,101.79472298324112,102.65217919785756,1671822
2022-02-09,103.29015631282314,104.37982867797554,103.0635926618663,103.766678696179,181280
2022-02-10,104.28013553783057,105.34368073700735,104.21621036189278,104.62081603709629,4689976
2022-02-11,103.55237197383248,103.83490510019858,102.758147071348,103.71721352587815,4398962
2022-02-14,104.73522373061492,105.23186560497139,104.42427614470397,104.67744093365799,556203
2022-02-15,106.11784386975177,106.36377771347233,105.33628725051825,105.69462351175989,1811126
2022-02-16,106.28804491524333,106.90440963078858,105.77285627287598,106.73190023291338,3071502
2022-02-17,106.97130525943919,108.11191852314175,106.97130525943919,107.3993221208598,887959
2022-02-18,108.59020160985975,109.66594111887824,108.59020160985975,108.89044598851537,1694458
2022-02-21,111.39401953253851,112.17215717359663,110.49613952193904,111.22758647036265,2884712
2022-02-22,109.96939877507164,111.32441466313614,109.81825768378826,110.25165442875516,4471028
2022-02-23,109.34205432866398,109.56862735350948,108.39170477194247,109.02064913182886,2513336
2022-02-24,107.67359775700768,108.88655696672895,107.67359775700768,108.18823190236736,4708247
2022-02-25,110.68686299251375,110.68686299251375,110.21252204104103,110.22955980140098,4648760
2022-02-28,109.53385115552345,110.59320803848102,109.31231661282247,109.65985281722223,930514
2022-03-01,111.28084291670964,111.56877818885746,110.16597986082932,110.79759392116719,576164
2022-03-02,112.73498586200556,113.24810057269079,111.6741641877365,112.46420734451397,1861506
2022-03-03,112.86661518532065,113.4300542266425,111.54290957421726,112.518526571392,4574878
2022-03-04,114.73946789627374,115.3718847426748,113.65593671155027,114.5676577333368,4461026
2022-03-07,114.43353482338489,114.68376783698443,113.913516250324,114.57608700782072,276117
2022-03-08,112.22218719332544,112.22218719332544,112.0784697106,112.12034462853813,4130742
2022-03-09,112.11739945116858,113.12481210748822,111.67056634112409,112.5370947152762,1157523
2022-03-10,116.55333968477092,117.23850262471126,115.25755315400525,116.39338037676869,2629871
2022-03-11,118.85540705272066,118.85540705272066,117.98538920302443,118.50559489655751,484436
2022-03-14,117.62793318678862,118.19810677522453,117.62793318678862,118.01348996157571,2791210
2022-03-15,121.28927393822467,121.43426921561762,119.93898566352527,121.095282472375,3715694
2022-03-16,118.65578184542176,119.3793210423653,118.054368204385,118.95587064322369,170528
2022-03-17,119.88756324471186,120.48338339074763,119.40406369049559,120.43433192977177,3547923
2022-03-18,120.37402867253229,120.61451563625903,119.88358695662666,120.40597024431258,2052673
2022-03-21,118.96771978983126,118.96771978983126,118.36215195184784,118.80721878048641,3166713
2022-03-22,119.00841436447429,119.49517420533768,118.64378873413827,119.41090742370928,229905
2022-03-23,121.44086229133569,121.60438382272602,120.43925536114804,120.90858613070895,3252112
2022-03-24,121.75582098186601,123.06629570861844,120.79108173085116,121.89465577946063,1059376
2022-03-25,121.46007350314929,121.9691333578732,121.46007350314929,121.9469124041075,3446733
2022-03-28,122.01728682841367,123.60031656954763,122.01728682841367,122.60176384394063,679007
2022-03-29,121.87874418965363,122.78986730988944,120.82705099333268,121.72179264506556,4037056
2022-03-30,122.71708650583092,123.55350049668002,121.83689619155646,122.34169967063139,1922888
2022-03-31,120.70304587446802,122.02075103197083,119.85772479141988,120.89550724199042,2202070
2022-04-01,120.57693181315186,120.70026718782803,119.10097033979203,120.09349197049166,1668243
2022-04-04,120.53893455099082,120.68571588782687,119.58008949472668,120.67263780790918,547304
2022-04-05,122.8683764203891,123.29220238644595,122.527720156182,122.93175324409698,3395340
2022-04-06,125.42902016697983,126.05188957233435,124.95029237794509,125.06435870582351,2522659
2022-04-07,124.01068637471987,124.01068637471987,123.38713368584398,123.53174861829227,800659
